Year,ClinicalDomain,Category,ReportCount,PctOfYearReports
2024,local_complication,capsular_contracture,17257,43.428
2024,local_complication,wrinkling_or_rippling,290,0.7298
2024,lymphatic_system,lymphadenopathy,592,1.4898
2024,musculoskeletal_system,arthralgia,31,0.078
2024,musculoskeletal_system,muscle_weakness_atrophy,24,0.0604
2024,musculoskeletal_system,myalgia,12,0.0302
2024,neoplasm,bia_alcl,97,0.2441
2024,neoplasm,breast_cancer,85,0.2139
2024,neoplasm,cancer_unspecified,53,0.1334
2024,neoplasm,lymphoma_unspecified,126,0.3171
2024,nervous_system,burning_sensation,31,0.078
2024,nervous_system,cognitive_changes,60,0.151
2024,nervous_system,confusion_disorientation,15,0.0377
2024,nervous_system,dizziness,24,0.0604
2024,nervous_system,headache,54,0.1359
2024,nervous_system,memory_loss_impairment,34,0.0856
2024,nervous_system,numbness,18,0.0453
2024,nervous_system,paresthesia,78,0.1963
2024,nervous_system,sleep_dysfunction,29,0.073
2024,nervous_system,vertigo,5,0.0126
2024,patient_symptom,chest_pain,8,0.0201
2024,patient_symptom,pain,937,2.358
2024,psychological_condition,anxiety,75,0.1887
2024,psychological_condition,depression,37,0.0931
2024,psychological_condition,emotional_changes,25,0.0629
2024,respiratory_system,dyspnea,35,0.0881
2024,skin_subcutaneous_tissue,hair_loss,64,0.1611
2024,skin_subcutaneous_tissue,itching,19,0.0478
2024,skin_subcutaneous_tissue,rash,40,0.1007
2024,skin_subcutaneous_tissue,skin_inflammation_irritation,73,0.1837
2024,structural_aesthetic_outcome,deformity_disfigurement,6929,17.4371
2024,structural_aesthetic_outcome,ptosis,16,0.0403
2024,systemic_condition,autoimmune_disorder,147,0.3699
2024,systemic_symptom,fatigue,118,0.297
2024,systemic_symptom,weight_changes,45,0.1132
2024,tissue_injury,erosion,14,0.0352
2024,tissue_injury,pocket_erosion,59,0.1485
2024,tissue_injury,tissue_necrosis,87,0.2189
2024,traumatic_injury,crushing_injury,46,0.1158
2024,wound_healing,impaired_wound_healing,65,0.1636
2024,wound_healing,scar_tissue,35,0.0881
2024,wound_healing,wound_dehiscence,77,0.1938
2024,wound_or_breast_finding,fluid_discharge,39,0.0981
2025,biocompatibility,device_triggered_rejection,10863,26.9922
2025,biocompatibility,hypersensitivity_allergic_reaction,24,0.0596
2025,biocompatibility,patient_device_incompatibility,160,0.3976
2025,bleeding_complication,hematoma,144,0.3578
2025,breast_finding,breast_mass,239,0.5939
2025,breast_finding,cyst,157,0.3901
2025,cardiovascular_system,arrhythmia,2,0.005
2025,contamination,device_contamination,30,0.0745
2025,device_handling,device_handling_problem,68,0.169
2025,device_integrity,deflation,5,0.0124
2025,device_integrity,device_breakage,572,1.4213
2025,device_integrity,device_component_detachment,17,0.0422
2025,device_integrity,device_defect,10,0.0248
2025,device_integrity,gel_leak,801,1.9903
2025,device_integrity,implant_failure_nonspecific,11511,28.6023
2025,device_integrity,leak_or_deflation,3546,8.811
2025,device_integrity,material_deformation,74,0.1839
2025,device_integrity,material_delamination,26,0.0646
2025,device_integrity,material_discoloration,46,0.1143
2025,device_integrity,rupture,17448,43.3545
2025,device_integrity,unintended_deflation,68,0.169
2025,device_patient_interaction,patient_device_interaction,1317,3.2725
2025,device_position,device_malposition,362,0.8995
2025,device_position,device_migration,1098,2.7283
2025,device_use,use_of_device_problem,96,0.2385
2025,device_use_or_procedure,improper_procedure_or_method,21,0.0522
2025,ear_and_auditory_system,tinnitus,2,0.005
